                                                                                                         
[Epoch 131] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 132] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 133] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 134] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 135] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 136] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 137] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 138] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 139] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 140] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 141] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 142] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 143] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 144] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 145] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 146] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 147] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 148] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 149] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 150] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 151] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 152] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 153] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 154] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 155] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 156] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 157] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 158] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 159] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 160] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 161] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 162] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 163] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 164] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 165] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 166] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 167] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 168] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 169] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 170] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 171] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 172] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 173] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 174] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 175] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 176] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 177] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 178] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 179] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 180] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 181] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 182] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 183] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 184] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 185] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 186] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 187] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 188] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 189] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 190] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 191] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 192] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 193] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 194] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 195] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 196] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 197] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 198] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 199] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 200] Train Acc: 0.68% | Val Acc: 0.34%
✅ 모델 저장 완료: ./finger_printing/models/finger_printing/fp_model_CNNTransformer_20250330_115428.pt
