                                                                                                         
[Epoch 74] Train Acc: 0.64% | Val Acc: 0.34%
[Epoch 75] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 76] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 77] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 78] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 79] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 80] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 81] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 82] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 83] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 84] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 85] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 86] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 87] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 88] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 89] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 90] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 91] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 92] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 93] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 94] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 95] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 96] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 97] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 98] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 99] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 100] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 101] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 102] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 103] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 104] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 105] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 106] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 107] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 108] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 109] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 110] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 111] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 112] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 113] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 114] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 115] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 116] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 117] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 118] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 119] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 120] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 121] Train Acc: 0.77% | Val Acc: 0.34%
